"","juv_fel_count","juv_misd_count","juv_other_count","priors_count","days_b_screening_arrest","c_days_from_compas","y","sex.Female","sex.Male","age_cat.25...45","age_cat.Greater.than.45","age_cat.Less.than.25","race.African.American","race.Asian","race.Caucasian","race.Hispanic","race.Native.American","race.Other","c_charge_degree.F","c_charge_degree.M","c_charge_degree.O","groupAssignment"
"1",0,0,0,0,-1,1,-1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1
"2",0,0,0,0,-1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2
"3",0,0,1,4,-1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,2
"4",0,1,0,1,NA,1,-1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,2
"5",0,0,0,2,NA,76,-1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1
"6",0,0,0,0,0,0,-1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1
"7",0,0,0,14,-1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
"8",0,0,0,3,-1,1,-1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1
"9",0,0,0,0,-1,1,-1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
"10",0,0,1,0,-1,1,-1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
"11",0,0,0,0,-1,1,-1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
"12",0,0,0,1,428,308,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
"13",0,0,0,0,-1,1,-1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
"14",0,0,0,3,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,2
"15",0,0,0,0,0,0,-1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
"16",0,0,0,0,0,0,-1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
"17",0,0,0,0,-1,1,-1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2
"18",0,0,0,1,-20,490,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
"19",0,0,0,7,22,71,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2
"20",0,0,0,0,0,0,-1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1
"21",0,0,0,3,-1,1,-1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2
"22",0,0,0,6,-1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
"23",0,0,0,5,-1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
"24",0,0,0,13,-1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,2
"25",0,0,0,1,-1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,2
"26",0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1
"27",0,0,0,0,-2,2,-1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
"28",0,0,0,2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,2
"29",0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
"30",0,0,0,1,-132,133,-1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
"31",0,0,0,1,-1,1,-1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1
"32",0,0,0,0,-1,1,-1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1
"33",0,0,0,0,-1,1,-1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,2
"34",0,0,0,8,0,4296,-1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,2
"35",0,0,0,8,-1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2
"36",0,0,0,3,53,95,-1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
"37",0,0,1,5,-1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2
"38",0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2
"39",0,0,0,9,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
"40",0,0,0,4,-1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2
"41",0,0,0,0,-1,1,-1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,2
"42",0,0,0,2,0,1,-1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1
"43",0,0,0,0,-1,1,-1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
"44",0,0,0,15,0,0,-1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2
"45",0,0,2,5,-1,1,-1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2
"46",0,0,0,19,-1,1,-1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
"47",0,0,0,7,-1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1
"48",0,0,2,6,81,382,-1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1
"49",0,0,0,4,-1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
"50",0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
"51",2,1,3,21,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2
"52",0,0,0,0,0,1,-1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1
"53",0,0,0,2,-1,1,-1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,2
"54",0,0,0,2,-1,1,-1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,2
"55",0,0,0,2,-1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1
"56",0,0,0,0,-1,1,-1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2
"57",0,0,0,7,-1,1,-1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,2
"58",0,0,0,8,0,0,-1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
"59",0,0,0,22,-1,1,-1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,2
"60",0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2
"61",0,0,0,0,-1,2,-1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1
"62",0,0,0,9,-1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1
"63",1,0,4,13,-1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2
